Cognome,Nome,Data di nascita,Età (anni),Creato il,Nazione,Ordini Religiosi,Elettore,Ordine,Precedenza
ADVINCULA,Jose Fuerte,1952-03-30,73,2020-11-28,Filippine,,E,Presbiteri,140
AGUIAR ALVES,Américo Manuel,1973-12-12,51,2023-09-30,Portogallo,,E,Presbiteri,186
AGUIAR RETES,Carlos,1950-01-09,75,2016-11-19,Messico,,E,Presbiteri,110
AMBONGO BESUNGU,Fridolin,1960-01-24,65,2019-10-05,Repubblica Democratica del Congo,O.F.M. Cap.,E,Presbiteri,132
ARBORELIUS,Anders,1949-09-24,75,2017-06-28,Svezia,O.C.D.,E,Presbiteri,115
AVELINE,Jean-Marc,1958-12-26,66,2022-08-27,Francia,,E,Presbiteri,161
AVIZ BRAZ de,João,1947-04-24,77,2012-02-18,Brasile,,E,Presbiteri,157
BAGGIO,Fabio,1965-01-15,60,2024-12-07,Italia,C.S.,E,Diaconi,33
BARBARIN,Philippe,1950-10-17,74,2003-10-21,Francia,,E,Presbiteri,35
BASELIOS,Cleemis,1960-05-25,64,2012-11-24,India,,E,Presbiteri,71
BATTAGLIA,Domenico,1963-01-20,62,2024-12-07,Italia,,E,Presbiteri,206
BESSI DOGBO,Ignace,1961-08-17,63,2024-12-07,Costa d'Avorio,,E,Presbiteri,199
BETORI,Giuseppe,1947-02-25,78,2012-02-18,Italia,,E,Presbiteri,66
BO,Charles Maung,1948-10-29,76,2015-02-14,Myanmar,S.D.B.,E,Presbiteri,92
BOKALIC IGLIC,Vicente,1952-06-11,72,2024-12-07,Argentina,C.M.,E,Presbiteri,192
BOZANIĆ,Josip,1949-03-20,76,2003-10-21,Croazia,,E,Presbiteri,33
BRENES SOLÓRZANO,Leopoldo José,1949-03-07,76,2014-02-22,Nicaragua,,E,Presbiteri,75
BRISLIN,Stephen,1956-09-24,68,2023-09-30,Sud Africa,,E,Presbiteri,176
BURKE,Raymond Leo,1948-06-30,76,2010-11-20,Stati Uniti d'America,,E,Presbiteri,147
BUSTILLO,François-Xavier,1968-11-23,56,2023-09-30,Francia,O.F.M. Conv.,E,Presbiteri,185
BYCHOK,Mykola,1980-02-13,45,2024-12-07,Australia,C.SS.R.,E,Presbiteri,205
CABRERA HERRERA,Luis Gerardo,1955-10-11,69,2024-12-07,Ecuador,O.F.M.,E,Presbiteri,193
CAÑIZARES LLOVERA,Antonio,1945-10-15,79,2006-03-24,Spagna,,E,Presbiteri,41
CANTONI,Oscar,1950-09-01,74,2022-08-27,Italia,,E,Presbiteri,167
CASTILLO MATTASOGLIO,Carlos Gustavo,1950-02-28,75,2024-12-07,Perù,,E,Presbiteri,191
CHOMALÍ GARIB,Fernando Natalio,1957-03-10,68,2024-12-07,Cile,,E,Presbiteri,194
CHOW SAU-YAN,Stephen,1959-08-07,65,2023-09-30,Cina,S.I.,E,Presbiteri,184
CLEMENTE,Manuel,1948-07-16,76,2015-02-14,Portogallo,,E,Presbiteri,86
COBO CANO,José,1965-09-20,59,2023-09-30,Spagna,,E,Presbiteri,181
COLLINS,Thomas Christopher,1947-01-16,78,2012-02-18,Canada,,E,Presbiteri,63
COSTA,Paulo Cezar,1967-07-20,57,2022-08-27,Brasile,,E,Presbiteri,169
COUTTS,Joseph,1945-07-21,79,2018-06-28,Pakistan,,E,Presbiteri,123
CUPICH,Blase Joseph,1949-03-19,76,2016-11-19,Stati Uniti d'America,,E,Presbiteri,105
CZERNY,Michael,1946-07-18,78,2019-10-05,Canada,S.I.,E,Diaconi,10
DAVID,Pablo Virgilio Siongco,1959-03-02,66,2024-12-07,Filippine,,E,Presbiteri,196
DE DONATIS,Angelo,1954-01-04,71,2018-06-28,Italia,,E,Presbiteri,122
DE KESEL,Jozef,1947-06-17,77,2016-11-19,Belgio,,E,Presbiteri,108
DEW,John Atcherley,1948-05-05,76,2015-02-14,Nuova Zelanda,,E,Presbiteri,88
DiNARDO,Daniel Nicholas,1949-05-23,75,2007-11-24,Stati Uniti d'America,,E,Presbiteri,52
DO CARMO DA SILVA,Virgilio,1967-11-27,57,2022-08-27,Timor Orientale,S.D.B.,E,Presbiteri,166
DOLAN,Timothy Michael,1950-02-06,75,2012-02-18,Stati Uniti d'America,,E,Presbiteri,67
EIJK,Willem Jacobus,1953-06-22,71,2012-02-18,Paesi Bassi,,E,Presbiteri,65
ERDÖ,Péter,1952-06-25,72,2003-10-21,Ungheria,,E,Presbiteri,36
FARRELL,Kevin Joseph,1947-09-02,77,2016-11-19,Stati Uniti d'America,,E,Diaconi,3
FERNÁNDEZ,Víctor Manuel,1962-07-18,62,2023-09-30,Argentina,,E,Diaconi,24
FERNÁNDEZ ARTIME,Ángel,1960-08-21,64,2023-09-30,Spagna,S.D.B.,E,Diaconi,27
FERRÃO,Filipe Neri António Sebastião do Rosário,1953-01-20,72,2022-08-27,India,,E,Presbiteri,164
FILONI,Fernando,1946-04-15,79,2012-02-18,Italia,,E,Vescovi,8
FRANCIS,Sebastian,1951-11-11,73,2023-09-30,Malaysia,,E,Presbiteri,183
FURTADO,Arlindo Gomes,1949-11-15,75,2015-02-14,Capo Verde,,E,Presbiteri,98
GAMBETTI,Mauro,1965-10-27,59,2020-11-28,Italia,O.F.M. Conv.,E,Diaconi,14
GARCÍA RODRÍGUEZ,Juan de la Caridad,1948-07-11,76,2019-10-05,Cuba,,E,Presbiteri,131
GOH,William Seng Chye,1957-06-25,67,2022-08-27,Singapore,,E,Presbiteri,170
GRECH,Mario,1957-02-20,68,2020-11-28,Malta,,E,Diaconi,12
GREGORY,Wilton Daniel,1947-12-07,77,2020-11-28,Stati Uniti d'America,,E,Presbiteri,139
GUGEROTTI,Claudio,1955-10-07,69,2023-09-30,Italia,,E,Diaconi,23
HARVEY,James Michael,1949-10-20,75,2012-11-24,Stati Uniti d'America,,E,Presbiteri,188
HOLLERICH,Jean-Claude,1958-08-09,66,2019-10-05,Lussemburgo,S.I.,E,Presbiteri,133
KAMBANDA,Antoine,1958-11-10,66,2020-11-28,Rwanda,,E,Presbiteri,138
KIKUCHI,Tarcisio Isao,1958-11-01,66,2024-12-07,Giappone,S.V.D.,E,Presbiteri,195
KOCH,Kurt,1950-03-15,75,2010-11-20,Svizzera,,E,Presbiteri,148
KOOVAKAD,George Jacob,1973-08-11,51,2024-12-07,India,,E,Diaconi,34
KOVITHAVANIJ,Francis Xavier Kriengsak,1949-06-27,75,2015-02-14,Thailandia,,E,Presbiteri,93
KRAJEWSKI,Konrad,1963-11-25,61,2018-06-28,Polonia,,E,Diaconi,7
KUTWA,Jean-Pierre,1945-12-22,79,2014-02-22,Costa d'Avorio,,E,Presbiteri,77
LACROIX,Gérald Cyprien,1957-07-27,67,2014-02-22,Canada,I.S.P.X.,E,Presbiteri,76
LANGLOIS,Chibly,1958-11-29,66,2014-02-22,Haîti,,E,Presbiteri,85
LEO,Frank,1971-06-30,53,2024-12-07,Canada,,E,Presbiteri,204
LOJUDICE,Augusto Paolo,1964-07-01,60,2020-11-28,Italia,,E,Presbiteri,142
LÓPEZ ROMERO,Cristóbal,1952-05-19,72,2019-10-05,Marocco,S.D.B.,E,Presbiteri,136
MAEDA,Thomas Aquino Manyo,1949-03-03,76,2018-06-28,Giappone,,E,Presbiteri,128
MAFI,Soane Patita Paini,1961-12-19,63,2015-02-14,Isole Tonga,,E,Presbiteri,99
MAKRICKAS,Rolandas,1972-01-31,53,2024-12-07,Lituania,,E,Diaconi,31
MAMBERTI,Dominique,1952-03-07,73,2015-02-14,Francia,,E,Diaconi,1
MARENGO,Giorgio,1974-06-07,50,2022-08-27,Mongolia,I.M.C.,E,Presbiteri,172
MARTÍNEZ FLORES,Adalberto,1951-07-08,73,2022-08-27,Paraguay,,E,Presbiteri,171
MARTO dos SANTOS,António Augusto,1947-05-05,77,2018-06-28,Portogallo,,E,Presbiteri,124
MARX,Reinhard,1953-09-21,71,2010-11-20,Germania,,E,Presbiteri,61
MATHIEU,Dominique Joseph,1963-06-13,61,2024-12-07,Iran,O.F.M. Conv.,E,Presbiteri,201
McELROY,Robert Walter,1954-02-05,71,2022-08-27,Stati Uniti d'America,,E,Presbiteri,165
MENDONÇA,José Tolentino de,1965-12-15,59,2019-10-05,Portogallo,,E,Diaconi,9
MONTENEGRO,Francesco,1946-05-22,78,2015-02-14,Italia,,E,Presbiteri,94
MULLA,Stephen Ameyu Martin,1964-01-10,61,2023-09-30,Sud Sudan,,E,Presbiteri,180
MÜLLER,Gerhard Ludwig,1947-12-31,77,2014-02-22,Germania,,E,Presbiteri,190
NEMET,Ladislav,1956-09-07,68,2024-12-07,Serbia,S.V.D.,E,Presbiteri,197
NICHOLS,Gerard Vincent,1945-11-08,79,2014-02-22,Regno Unito,,E,Presbiteri,74
NJUE,John,1946-01-01,79,2007-11-24,Kenya,,E,Presbiteri,54
NYCZ,Kazimierz,1950-02-01,75,2010-11-20,Polonia,,E,Presbiteri,59
NZAPALAINGA,Dieudonné,1967-03-14,58,2016-11-19,Repubblica Centrafricana,C.S.Sp.,E,Presbiteri,102
OKPALEKE,Peter Ebere,1963-03-01,62,2022-08-27,Nigeria,,E,Presbiteri,162
OMELLA OMELLA,Juan José,1946-04-21,79,2017-06-28,Spagna,,E,Presbiteri,114
OSORO SIERRA,Carlos,1945-05-16,79,2016-11-19,Spagna,,E,Presbiteri,103
QUÉDRAOGO,Philippe Nakellentub a,1945-12-31,79,2014-02-22,Burkina Faso,,E,Presbiteri,83
PAROLIN,Pietro,1955-01-17,70,2014-02-22,Italia,,E,Vescovi,6
PATABENDIGE DON,Albert Malcolm Ranjith,1947-11-15,77,2010-11-20,Sri Lanka,,E,Presbiteri,60
PETROCCHI,Giuseppe,1948-08-19,76,2018-06-28,Italia,,E,Presbiteri,127
PIERRE,Christophe Louis Yves Georges,1946-01-30,79,2023-09-30,Francia,,E,Diaconi,26
PIZZABALLA,Pierbattista,1965-04-21,60,2023-09-30,Gerusalemme,O.F.M.,E,Presbiteri,175
POLI,Mario Aurelio,1947-11-29,77,2014-02-22,Argentina,,E,Presbiteri,80
POOLA,Anthony,1961-11-15,63,2022-08-27,India,,E,Presbiteri,168
PREVOST,Robert Francis,1955-09-14,69,2023-09-30,Stati Uniti d'America,O.S.A.,E,Vescovi,11
PULJIC,Vinko,1945-09-08,79,1994-11-26,Bosnia ed Erzegovina,,E,Presbiteri,10
RADCLIFFE,Timothy Peter Joseph,1945-08-22,79,2024-12-07,Regno Unito,O.P.,E,Diaconi,32
RAMAZZINI IMERI,Álvaro Leonel,1947-07-16,77,2019-10-05,Guatemala,,E,Presbiteri,134
REINA,Baldassare,1970-11-26,54,2024-12-07,Italia,,E,Presbiteri,203
REPOLE,Roberto,1967-01-29,58,2024-12-07,Italia,,E,Presbiteri,202
RIBAT,John,1957-02-09,68,2016-11-19,Papua Nuova Guinea,M.S.C.,E,Presbiteri,111
ROBLES ORTEGA,Francisco,1949-03-02,76,2007-11-24,Messico,,E,Presbiteri,51
ROCHA,Sérgio da,1959-10-21,65,2016-11-19,Brasile,,E,Presbiteri,104
ROCHE,Arthur,1950-03-06,75,2022-08-27,Regno Unito,,E,Diaconi,18
ROSSI,Ángel Sixto,1958-08-11,66,2023-09-30,Argentina,S.I.,E,Presbiteri,177
RUEDA APARICIO,Luis José,1962-03-03,63,2023-09-30,Colombia,,E,Presbiteri,178
RUGAMBWA,Protase,1960-05-31,64,2023-09-30,Tanzania,,E,Presbiteri,182
RYLKO,Stanistaw,1945-07-04,79,2007-11-24,Polonia,,E,Presbiteri,120
RYS,Grzegorz,1964-02-09,61,2023-09-30,Polonia,,E,Presbiteri,179
SAKO,Louis Raphael,1948-07-04,76,2018-06-28,Iraq,,E,Vescovi (Card. Patriarchi di Rito Orient.),13
SARAH,Robert,1945-06-15,79,2010-11-20,Guinea,,E,Presbiteri,145
SCHERER,Odilo Pedro,1949-09-21,75,2007-11-24,Brasile,,E,Presbiteri,53
SEMERARO,Marcello,1947-12-22,77,2020-11-28,Italia,,E,Diaconi,13
SOURAPHIEL,Berhaneyes us Demerew,1948-07-14,76,2015-02-14,Etiopia,C.M.,E,Presbiteri,87
SPENGLER,Jaime,1960-09-06,64,2024-12-07,Brasile,O.F.M.,E,Presbiteri,198
STEINER,Leonardo Ulrich,1950-11-06,74,2022-08-27,Brasile,O.F.M.,E,Presbiteri,163
STURLA BERHOUET,Daniel Fernando,1959-07-04,65,2015-02-14,Uruguay,S.D.B.,E,Presbiteri,95
SUHARYO HARDJOATMODJO,Ignatius,1950-07-09,74,2019-10-05,Indonesia,,E,Presbiteri,130
TAGLE,Luis Antonio G.,1957-06-21,67,2012-11-24,Filippine,,E,Vescovi,10
TEMPESTA,Orani João,1950-06-23,74,2014-02-22,Brasile,O.Cist.,E,Presbiteri,78
TOBIN,Joseph William,1952-05-03,72,2016-11-19,Stati Uniti d'America,C.SS.R.,E,Presbiteri,112
TSARAHAZANA,Désiré,1954-06-13,70,2018-06-28,Madagascar,,E,Presbiteri,126
TSCHERRIG,Paul Emil,1947-02-03,78,2023-09-30,Svizzera,,E,Diaconi,25
TURKSON,Peter Kodwo Appiah,1948-10-11,76,2003-10-21,Ghana,,E,Presbiteri,32
VESCO,Jean-Paul,1962-03-10,63,2024-12-07,Algeria,O.P.,E,Presbiteri,200
WOELKI,Rainer Maria,1956-08-18,68,2012-02-18,Germania,,E,Presbiteri,68
YOU HEUNG-SIK,Lazzaro,1951-11-17,73,2022-08-27,Corea,,E,Diaconi,19
ZENARI,Mario,1946-01-05,79,2016-11-19,Italia,,E,Diaconi,2
ZUPPI,Matteo Maria,1955-10-11,69,2019-10-05,Italia,,E,Presbiteri,135
ABRIL y CASTELLÓ,Santos,1935-09-21,89,2012-02-18,Spagna,,,Presbiteri,153
ACERBI,Angelo,1925-09-23,99,2024-12-07,Italia,,,Diaconi,30
ALENCHERRY,George,1945-04-19,80,2012-02-18,India,,,Presbiteri,62
ANTONELLI,Ennio,1936-11-18,88,2003-10-21,Italia,,,Presbiteri,31
AÓS BRACO,Celestino,1945-04-06,80,2020-11-28,Cile,O.F.M. Cap.,,Presbiteri,141
ARINZE,Francis,1932-11-01,92,1985-05-25,Nigeria,,,Vescovi,3
ARIZMENDI ESQUIVEL,Felipe,1940-05-01,84,2020-11-28,Messico,,,Presbiteri,143
ASSIS DAMASCENO,Raymundo,1937-02-15,88,2010-11-20,Brasile,,,Presbiteri,58
BACKIS,Audrys Juozas,1937-02-01,88,2001-02-21,Lituania,,,Presbiteri,21
BAGNASCO,Angelo,1943-01-14,82,2007-11-24,Italia,,,Presbiteri,48
BALDISSERI,Lorenzo,1940-09-29,84,2014-02-22,Italia,,,Presbiteri,189
BARRETO JIMENO,Pedro Ricardo,1944-02-12,81,2018-06-28,Perù,S.I.,,Presbiteri,125
BASSETTI,Gualtiero,1942-04-07,83,2014-02-22,Italia,,,Presbiteri,79
BECCIU,Giovanni Angelo,1948-06-02,76,2018-06-28,Italia,,,Diaconi,6
BERTELLO,Giuseppe,1942-10-01,82,2012-02-18,Italia,,,Presbiteri,155
BERTONE,Tarcisio,1934-12-02,90,2003-10-21,Italia,S.D.B.,,Vescovi,4
BLÁZQUEZ PÉREZ,Ricardo,1942-04-13,83,2015-02-14,Spagna,,,Presbiteri,96
BOCOS MERINO,Aquilino,1938-05-17,86,2018-06-28,Spagna,C.M.F.,,Diaconi,8
BRADY,Seán Baptist,1939-08-16,85,2007-11-24,Irlanda,,,Presbiteri,45
