nome,url,data_di_nascita,tipo,creato_da,paese,continente
ACERBI Card. Angelo,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_acerbi_a.html,1925-09-23,Non Elettore,Francesco,Italia,Europa
KARLIC Card. Estanislao Esteban,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_karlic_ee.html,1926-02-07,Non Elettore,Benedetto XVI,Argentina,America del Sud
WAMALA Card. Emmanuel,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_wamala_e.html,1926-12-15,Non Elettore,S. Giovanni Paolo II,Uganda,Africa
"DRI Card. Luis Pascual, O.F.M. Cap.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_dri_lp.html,1927-04-17,Non Elettore,Francesco,Argentina,America del Sud
LANGA Card. Júlio Duarte,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_langa_jd.html,1927-10-27,Non Elettore,Francesco,Mozambico,Africa
WETTER Card. Friedrich,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_wetter_f.html,1928-02-20,Non Elettore,S. Giovanni Paolo II,Germania,Europa
SIMONI Card. Ernest,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_simoni_e.html,1928-10-18,Non Elettore,Francesco,Albania,Europa
BRANDMÜLLER Card. Walter,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_brandmuller_w.html,1929-01-05,Non Elettore,Benedetto XVI,Germania,Europa
KITBUNCHU Card. Michael Michai,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_kitbunchu_mm.html,1929-01-25,Non Elettore,S. Giovanni Paolo II,Thailandia,Asia
MAIDA Card. Adam Joseph,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_maida_aj.html,1930-03-18,Non Elettore,S. Giovanni Paolo II,Stati Uniti d'America,America del Nord
HERRANZ Card. Julián,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_herranz_j.html,1930-03-31,Non Elettore,S. Giovanni Paolo II,Spagna,Europa
POUPARD Card. Paul,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_poupard_p.html,1930-08-30,Non Elettore,S. Giovanni Paolo II,Francia,Europa
DE GIORGI Card. Salvatore,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_de-giorgi_s.html,1930-09-06,Non Elettore,S. Giovanni Paolo II,Italia,Europa
PUJATS Card. Jānis,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_pujats_j.html,1930-11-14,Non Elettore,S. Giovanni Paolo II,Lettonia,Europa
RUINI Card. Camillo,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_ruini_c.html,1931-02-19,Non Elettore,S. Giovanni Paolo II,Italia,Europa
MUREŞAN Card. Lucian,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_muresan_l.html,1931-05-23,Non Elettore,Benedetto XVI,Romania,Europa
"SARAIVA MARTINS Card. José, C.M.F.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_saraiva-martins_j.html,1932-01-06,Non Elettore,S. Giovanni Paolo II,Portogallo,Europa
"ZEN ZE-KIUN Card. Joseph, S.D.B.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_zen-se-kiun_j.html,1932-01-13,Non Elettore,Benedetto XVI,Cina,Asia
STAFFORD Card. James Francis,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_stafford_jf.html,1932-07-26,Non Elettore,S. Giovanni Paolo II,Stati Uniti d'America,America del Nord
ROSALES Card. Gaudencio Borbon,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_rosales_gb.html,1932-08-10,Non Elettore,Benedetto XVI,Filippine,Asia
ARINZE Card. Francis,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_arinze_f.html,1932-11-01,Non Elettore,S. Giovanni Paolo II,Nigeria,Africa
KASPER Card. Walter,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_kasper_w.html,1933-03-05,Non Elettore,S. Giovanni Paolo II,Germania,Europa
SANDOVAL ÍÑIGUEZ Card. Juan,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_sandoval-iniguez_j.html,1933-03-28,Non Elettore,S. Giovanni Paolo II,Messico,America del Nord
ERRÁZURIZ OSSA Card. Francisco Javier,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_errazuriz-ossa_fj.html,1933-09-05,Non Elettore,S. Giovanni Paolo II,Cile,America del Sud
"FARINA Card. Raffaele, S.D.B.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_farina_r.html,1933-09-24,Non Elettore,Benedetto XVI,Italia,Europa
RE Card. Giovanni Battista,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_re_gb.html,1934-01-30,Non Elettore,S. Giovanni Paolo II,Italia,Europa
PHAM MINH MÂN Card. Jean-Baptiste,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_pham-minh-man_jb.html,1934-03-05,Non Elettore,S. Giovanni Paolo II,Vietnam,Asia
MONTERISI Card. Francesco,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_monterisi_f.html,1934-05-28,Non Elettore,Benedetto XVI,Italia,Europa
"CANTALAMESSA Card. Raniero, O.F.M. Cap.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_cantalamessa_r.html,1934-07-22,Non Elettore,Francesco,Italia,Europa
"RODÉ Card. Franc, C.M.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_rode_f.html,1934-09-23,Non Elettore,Benedetto XVI,Slovenia,Europa
VILLALBA Card. Luis Héctor,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_villalba_lh.html,1934-10-11,Non Elettore,Francesco,Argentina,America del Sud
"BERTONE Card. Tarcisio, S.D.B.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_bertone_t.html,1934-12-02,Non Elettore,S. Giovanni Paolo II,Italia,Europa
"DARMAATMADJA Card. Julius Riyadi, S.I.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_darmaatmadja_jr.html,1934-12-20,Non Elettore,S. Giovanni Paolo II,Indonesia,Asia
LAJOLO Card. Giovanni,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_lajolo_g.html,1935-01-03,Non Elettore,Benedetto XVI,Italia,Europa
RIGALI Card. Justin Francis,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_rigali_jf.html,1935-04-19,Non Elettore,S. Giovanni Paolo II,Stati Uniti d'America,America del Nord
ABRIL y CASTELLÓ Card. Santos,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_abril-y-castello_s.html,1935-09-21,Non Elettore,Benedetto XVI,Spagna,Europa
MAHONY Card. Roger Michael,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_mahony_rm.html,1936-02-27,Non Elettore,S. Giovanni Paolo II,Stati Uniti d'America,America del Nord
OKOGIE Card. Anthony Olubunmi,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_okogie_ao.html,1936-06-16,Non Elettore,S. Giovanni Paolo II,Nigeria,Africa
ROUCO VARELA Card. Antonio María,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_rouco-varela_am.html,1936-08-20,Non Elettore,S. Giovanni Paolo II,Spagna,Europa
LÓPEZ RODRÍGUEZ Card. Nicolás de Jesús,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_lopez-rodriguez_ndj.html,1936-10-31,Non Elettore,S. Giovanni Paolo II,Repubblica Dominicana,America Centrale
ANTONELLI Card. Ennio,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_antonelli_e.html,1936-11-18,Non Elettore,S. Giovanni Paolo II,Italia,Europa
SARR Card. Théodore-Adrien,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_sarr_ta.html,1936-11-28,Non Elettore,Benedetto XVI,Senegal,Africa
BAČKIS Card. Audrys Juozas,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_backis_aj.html,1937-02-01,Non Elettore,S. Giovanni Paolo II,Lituania,Europa
ASSIS Card. Raymundo DAMASCENO,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_assis-damasceno_r.html,1937-02-15,Non Elettore,Benedetto XVI,Brasile,America del Sud
PORCO TICONA Card.Toribio,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_porcoticona_t.html,1937-04-25,Non Elettore,Francesco,Bolivia,America del Sud
MARTÍNEZ SISTACH Card. Lluís,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_martinez-sistach_l.html,1937-04-29,Non Elettore,Benedetto XVI,Spagna,Europa
"FITZGERALD Card. Michale Louis, M. Afr.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_fitzgerald_ml.html,1937-08-17,Non Elettore,Francesco,Regno Unito,Europa
VEGLIÒ Card. Antonio Maria,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_veglio_am.html,1938-02-03,Non Elettore,Benedetto XVI,Italia,Europa
ROMEO Card. Paolo,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_romeo_p.html,1938-02-20,Non Elettore,Benedetto XVI,Italia,Europa
COCCOPALMERIO Card. Francesco,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_coccopalmerio_f.html,1938-03-06,Non Elettore,Benedetto XVI,Italia,Europa
MONTEIRO de CASTRO Card. Manuel,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_monteiro-de-castro_m.html,1938-03-29,Non Elettore,Benedetto XVI,Portogallo,Europa
NGUYÊN VĂN NHON Card. Pierre,https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_nguyen-van-nohn_p.html,1938-04-01,Non Elettore,Francesco,Vietnam,Asia
"BOCOS MERINO Card. Aquilino, C.M.F",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_bocosmerino_a.html,1938-05-17,Non Elettore,Francesco,Spagna,Europa
"TAMKEVIČIUS Card. Sigitas, S.I.",https://press.vatican.va/content/salastampa/it/documentation/cardinali_biografie/cardinali_bio_tamkevicius_s0.html,1938-11-07,Non Elettore,Francesco,Lituania,Europa
