cardinal,cardinalLabel,cardinalTypeInSampleLabel,birthDate,birthPlaceLabel,cardinalStartTime,bishopStartTime,priestStartTime
http://www.wikidata.org/entity/Q535483,Angelo Acerbi,Cardinal,1925-09-23T00:00:00Z,Sesta Godano,2024-12-07T00:00:00Z,1974-06-30T00:00:00Z,1948-03-27T00:00:00Z
http://www.wikidata.org/entity/Q498734,Estanislao Esteban Karlic,Cardinal,1926-02-07T00:00:00Z,Oliva,2007-11-24T00:00:00Z,1977-08-15T00:00:00Z,1954-12-08T00:00:00Z
http://www.wikidata.org/entity/Q918295,Emmanuel Wamala,Cardinal,1926-12-15T00:00:00Z,Masaka District,1994-11-26T00:00:00Z,1981-11-22T00:00:00Z,1957-12-21T00:00:00Z
http://www.wikidata.org/entity/Q120489744,Luis Pascual Dri,cardinal-deacon,1927-04-17T00:00:00Z,Federación Department,2023-09-30T00:00:00Z,,1952-03-29T00:00:00Z
http://www.wikidata.org/entity/Q1715702,Júlio Duarte Langa,Cardinal,1927-10-27T00:00:00Z,Xai-Xai,2015-02-14T00:00:00Z,1976-10-24T00:00:00Z,1957-06-09T00:00:00Z
http://www.wikidata.org/entity/Q45034,Friedrich Wetter,Cardinal,1928-02-20T00:00:00Z,Landau in der Pfalz,1985-05-25T00:00:00Z,1968-06-29T00:00:00Z,1953-10-10T00:00:00Z
http://www.wikidata.org/entity/Q27158977,Ernest Simoni,Cardinal,1928-10-18T00:00:00Z,Blinisht,2016-11-19T00:00:00Z,,1956-04-07T00:00:00Z
http://www.wikidata.org/entity/Q62254,Walter Brandmüller,cardinal priest,1929-01-05T00:00:00Z,Ansbach,2010-11-20T00:00:00Z,2010-11-13T00:00:00Z,1953-07-26T00:00:00Z
http://www.wikidata.org/entity/Q506672,Michael Michai Kitbunchu,Cardinal,1929-01-25T00:00:00Z,Sam Phran,1983-02-02T00:00:00Z,1973-06-03T00:00:00Z,1959-12-20T00:00:00Z
http://www.wikidata.org/entity/Q349912,Adam Maida,Cardinal,1930-03-18T00:00:00Z,East Vandergrift,1994-11-26T00:00:00Z,1984-01-25T00:00:00Z,1956-05-26T00:00:00Z
http://www.wikidata.org/entity/Q711525,Julián Herranz Casado,Cardinal,1930-03-31T00:00:00Z,Baena,2003-10-21T00:00:00Z,,1955-08-07T00:00:00Z
http://www.wikidata.org/entity/Q543999,Paul Poupard,Cardinal,1930-08-30T00:00:00Z,Bouzillé,1985-05-25T00:00:00Z,1979-04-06T00:00:00Z,1954-12-18T00:00:00Z
http://www.wikidata.org/entity/Q714183,Salvatore De Giorgi,Cardinal,1930-09-06T00:00:00Z,Vernole,1998-02-21T00:00:00Z,1973-12-27T00:00:00Z,1953-06-28T00:00:00Z
http://www.wikidata.org/entity/Q357419,Jānis Pujats,Cardinal in pectore,1930-11-14T00:00:00Z,Pujati,1998-02-21T00:00:00Z,1991-06-01T00:00:00Z,1951-03-29T00:00:00Z
http://www.wikidata.org/entity/Q505206,Camillo Ruini,Cardinal,1931-02-19T00:00:00Z,Sassuolo,1991-06-28T00:00:00Z,1983-06-29T00:00:00Z,1954-12-08T00:00:00Z
http://www.wikidata.org/entity/Q210874,Lucian Mureșan,Cardinal,1931-05-23T00:00:00Z,Firiza,2012-02-18T00:00:00Z,,1964-12-19T00:00:00Z
http://www.wikidata.org/entity/Q45198,José Saraiva Martins,Cardinal,1932-01-06T00:00:00Z,Gagos,2001-02-21T00:00:00Z,,1957-03-16T00:00:00Z
http://www.wikidata.org/entity/Q470052,Joseph Zen,Cardinal,1932-01-13T00:00:00Z,Shang-hai,2006-03-24T00:00:00Z,1996-12-09T00:00:00Z,
http://www.wikidata.org/entity/Q451478,James Stafford,Cardinal,1932-07-26T00:00:00Z,Baltimore,1998-02-21T00:00:00Z,1976-02-29T00:00:00Z,1957-12-15T00:00:00Z
http://www.wikidata.org/entity/Q467514,Gaudencio Rosales,cardinal priest,1932-08-10T00:00:00Z,Philippines,2006-03-24T00:00:00Z,1974-10-28T00:00:00Z,1958-03-23T00:00:00Z
http://www.wikidata.org/entity/Q44728,Francis Arinze,cardinal-deacon,1932-11-01T00:00:00Z,Eziowelle,1985-05-25T00:00:00Z,,1958-11-23T00:00:00Z
http://www.wikidata.org/entity/Q44100,Walter Kasper,Cardinal,1933-03-05T00:00:00Z,Heidenheim an der Brenz,2001-02-21T00:00:00Z,1989-06-17T00:00:00Z,1957-04-06T00:00:00Z
http://www.wikidata.org/entity/Q505192,Juan Sandoval Íñiguez,Cardinal,1933-03-28T00:00:00Z,Yahualica de González Gallo,1994-11-26T00:00:00Z,1988-04-30T00:00:00Z,1957-10-27T00:00:00Z
http://www.wikidata.org/entity/Q512118,Francisco Javier Errázuriz Ossa,Cardinal,1933-09-05T00:00:00Z,Santiago,2001-02-21T00:00:00Z,1991-01-06T00:00:00Z,1961-07-16T00:00:00Z
http://www.wikidata.org/entity/Q127211,Raffaele Farina,Cardinal,1933-09-24T00:00:00Z,Buonalbergo,2007-11-24T00:00:00Z,2006-12-16T00:00:00Z,1958-07-01T00:00:00Z
http://www.wikidata.org/entity/Q44842,Giovanni Battista Re,Cardinal-bishop of Sabina-Poggio Mirteto,1934-01-30T00:00:00Z,Brescia,2001-02-21T00:00:00Z,1987-11-07T00:00:00Z,1957-03-03T00:00:00Z
http://www.wikidata.org/entity/Q451101,Jean-Baptiste Phạm Minh Mẫn,Cardinal,1934-03-05T00:00:00Z,Cà Mau,2003-10-21T00:00:00Z,1993-08-11T00:00:00Z,1965-05-25T00:00:00Z
http://www.wikidata.org/entity/Q721621,Francesco Monterisi,Cardinal,1934-05-28T00:00:00Z,Barletta,2010-11-20T00:00:00Z,,1957-03-16T00:00:00Z
http://www.wikidata.org/entity/Q1233583,Raniero Cantalamessa,Cardinal,1934-07-22T00:00:00Z,Colli del Tronto,2020-11-28T00:00:00Z,,1958-10-19T00:00:00Z
http://www.wikidata.org/entity/Q468883,Franc Rode,cardinal priest,1934-09-23T00:00:00Z,Jarše,2006-03-24T00:00:00Z,1997-04-06T00:00:00Z,1960-06-29T00:00:00Z
http://www.wikidata.org/entity/Q1608178,Luis Héctor Villalba,Cardinal,1934-10-11T00:00:00Z,Buenos Aires,2015-02-14T00:00:00Z,1984-12-22T00:00:00Z,1960-09-24T00:00:00Z
http://www.wikidata.org/entity/Q44383,Tarcisio Bertone,Cardinal,1934-12-02T00:00:00Z,Romano Canavese,2003-10-21T00:00:00Z,,1960-07-01T00:00:00Z
http://www.wikidata.org/entity/Q468407,Julius Darmaatmadja,Cardinal,1934-12-20T00:00:00Z,Muntilan,1994-11-26T00:00:00Z,1983-06-29T00:00:00Z,
